"","Transformation","MAE","MAE_Round","MAE_Floor","MAE_Ceiling"
"1","quality_log",0.502755244538064,0.435291964122277,0.641771920190371,0.649643053267435
"2","quality_sqrt",0.504108180154229,0.433461468057844,0.626029654036244,0.663188724144244
"3","quality_cbrt",0.503536850780965,0.434376716090061,0.629324546952224,0.65806333516383
"4","quality_exp",0.510184487149803,0.446274940508878,0.597473915431082,0.689913966684972
"5","quality_logis",0.508059991746334,0.441149551528464,0.612300933552993,0.678381841479041
